                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    188,                 0.0009,                    0.7,                      1,                 1.3341,              5.662e-05,              5.662e-05,              5.662e-05
                    189,                0.00089,                    0.7,                      1,                 1.3341,             5.3086e-05,             5.3086e-05,             5.3086e-05
                    190,                0.00089,                    0.7,                      1,                 1.3341,             4.9552e-05,             4.9552e-05,             4.9552e-05
                    191,                0.00089,                    0.7,                      1,                 1.3341,             4.6017e-05,             4.6017e-05,             4.6017e-05
                    192,                0.00089,                    0.7,                      1,                 1.3341,             4.2483e-05,             4.2483e-05,             4.2483e-05
                    193,                0.00089,                    0.7,                      1,                 1.3341,             3.8949e-05,             3.8949e-05,             3.8949e-05
                    194,                0.00089,                    0.7,                      1,                 1.3341,             3.5414e-05,             3.5414e-05,             3.5414e-05
                    195,                0.00089,                    0.7,                      1,                 1.3341,              3.188e-05,              3.188e-05,              3.188e-05
                    196,                0.00089,                    0.7,                      1,                 1.3341,             2.8346e-05,             2.8346e-05,             2.8346e-05
                    197,                0.00089,                    0.7,                      1,                 1.3341,             2.4812e-05,             2.4812e-05,             2.4812e-05
                    198,                0.00089,                    0.7,                      1,                 1.3341,             2.1277e-05,             2.1277e-05,             2.1277e-05
                    199,                0.00089,                    0.7,                      1,                 1.3341,             1.7743e-05,             1.7743e-05,             1.7743e-05
                    200,                0.00089,                    0.7,                      1,                 1.3341,             1.4209e-05,             1.4209e-05,             1.4209e-05
